abuse_01,abuse_02,abuse_03,abuse_04,abuse_05,address,changed_01,changed_02,changed_03,cidr_01,cidr_02,city_01,city_02,comments_01,comments_02,comments_03,comments_04,comments_05,comments_06,comments_07,comments_08,comments_09,comments_10,country_01,country_02,created_at,descr_01,descr_02,descr_03,descr_04,descr_05,descr_06,descr_07,descr_08,descr_09,descr_10,email_01,email_02,email_03,email_04,email_05,email_06,email_07,email_08,email_09,email_10,fax_01,fax_02,fax_03,hostmax_01,hostmax_02,hostmax_03,hostmax_04,hostmax_05,hostmax_06,hostmax_07,hostmax_08,hostmax_09,hostmax_10,hostmin_01,hostmin_02,hostmin_03,hostmin_04,hostmin_05,hostmin_06,hostmin_07,hostmin_08,hostmin_09,hostmin_10,inetnum_01,inetnum_02,inetnum_03,inetnum_04,inetnum_05,inetnum_06,inetnum_07,inetnum_08,inetnum_09,inetnum_10,info,mnt_01,mnt_02,mnt_03,mnt_04,mnt_05,mnt_06,name,netcount_01,netcount_02,netcount_03,netcount_04,netcount_05,netcount_06,netcount_07,netcount_08,netcount_09,netcount_10,netmask_01,netmask_02,netmask_03,netmask_04,netmask_05,netmask_06,netmask_07,netmask_08,netmask_09,netmask_10,netname_01,netname_02,nichdl_01,nichdl_02,nichdl_03,nichdl_04,nichdl_05,notes,nserver_01,nserver_02,nserver_03,nslastaa_01,nslastaa_02,organization_01,organization_02,organization_03,organization_04,organization_05,orgname_01,orgname_02,orgname_03,orgname_04,orgname_05,originas_01,originas_02,originas_03,originas_04,originas_05,originas_06,originas_07,originas_08,originas_09,originas_10,other_01,other_02,other_03,other_04,other_05,other_06,other_07,other_08,other_09,other_10,parent_01,parent_02,parent_03,person_01,person_02,person_03,phone_01,phone_02,phone_03,postalcode_01,postalcode_02,ref_01,ref_02,ref_03,ref_04,ref_05,ref_06,ref_07,ref_08,ref_09,ref_10,regdate_01,regdate_02,remarks_01,remarks_02,remarks_03,remarks_04,remarks_05,remarks_06,remarks_07,remarks_08,remarks_09,remarks_10,route_01,route_02,rwhois_01,rwhois_02,rwhois_03,rwhois_04,rwhois_05,source,state_01,state_02,updated_01,updated_02,updated_03,updated_at,w_address_01,w_address_02,w_address_03,w_address_04,w_address_05,w_address_06,w_address_07,w_address_08,w_address_09,w_address_10
AR22516-RIPE,abusemail@depo40.ru,NULL,NULL,NULL,37.230.212.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RU,NULL,2015-07-07 20:22:06 UTC,IE Trusov Ilya Igorevych,Kaluga Depo Data Center,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abusemail@depo40.ru,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.230.213.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.230.212.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.230.212.0/23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,lidertelecom-mnt,MNT-DEPO40,NULL,NULL,NULL,NULL,NULL,510,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.254.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DEPO40-NET,NULL,TII10-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Individual Entrepreneur Trusov Ilya Igorevych,NULL,NULL,NULL,NULL,AS199793,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORG-IETI1-RIPE,TII10-RIPE,ASSIGNED PA,OTHER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Trusov Ilya Igorevych,NULL,NULL,+79533100064,NULL,NULL,NULL,NULL,lidertelecom-mnt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Depo Data Center Kaluga,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.230.212.0/23,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,249806  Russia  Kaluga region  Moscow Street 258  office 16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@estroweb.in,NULL,NULL,NULL,NULL,37.49.224.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NL,NULL,2015-07-07 20:22:06 UTC,Estro Web Services Private Limited,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@estroweb.in,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+91-11-43852004,NULL,NULL,37.49.224.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.49.224.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.49.224.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ESTROWEB-MNT,NULL,NULL,NULL,NULL,NULL,NULL,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ESTROWEB-01,NULL,VS4594-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Estro Web Services Private Limited,NULL,NULL,NULL,NULL,AS199264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VS4594-RIPE,ORG-EWSP2-RIPE,ASSIGNED PA,OTHER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vikas Saini,NULL,NULL,+91-11-45823535,NULL,NULL,NULL,NULL,ESTROWEB-MNT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Send all abuse complaints to abuse@estroweb.in,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.49.224.0/24,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,H. No. 1  Mangu Panna,Tatesar wala Rasta  Village - Jaunti,Delhi - 110081  India,Netherlands,NL,H.No.1  Mangu Panna,Tatesar wala rasta,Village Jaunti,Delhi - 110081,India
abuse@ovh.net,NULL,NULL,NULL,NULL,37.59.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FR,NULL,2015-07-07 20:22:06 UTC,OVH SAS,Dedicated servers,http://www.ovh.com,OVH ISP,Paris  France,NULL,NULL,NULL,NULL,NULL,abuse@ovh.net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.59.63.254,37.59.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.59.0.1,37.59.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.59.0.0/18,37.59.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OVH-MNT,NULL,NULL,NULL,NULL,NULL,NULL,16382,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.192.0,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OVH,NULL,OTC2-RIPE,OK217-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS16276,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OK217-RIPE,OTC2-RIPE,ASSIGNED PA,OVH Technical Contact,GM84-RIPE,SL10162-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Octave Klaba,NULL,NULL,+33 9 74 53 13 23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.59.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,OVH SAS,2 rue Kellermann,59100 Roubaix,France,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,41.74.177.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ZA,NULL,2015-07-07 20:22:06 UTC,Network Resources - Datacentre1 & 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+27214626794,NULL,NULL,41.74.177.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.74.177.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.74.177.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RSA-MNT,NULL,NULL,NULL,NULL,NULL,NULL,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RSAWEB,NULL,RH4-AFRINIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RH4-AFRINIC,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.74.176.0 - 41.74.191.255,NULL,NULL,RSAWeb Hostmaster,NULL,NULL,+27214626798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AfriNIC,NULL,NULL,NULL,NULL,NULL,NULL,Suite 3 Private Bag X1005,Claremont,7735,Cape Town,South Africa,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,41.75.64.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CG,NULL,2015-07-07 20:22:06 UTC,Yattoo Services Hosting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+2426708080,NULL,NULL,41.75.64.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.75.64.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.75.64.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OFIS,NULL,NULL,NULL,NULL,NULL,NULL,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INETSERVICES64,NULL,HR4-AFRINIC,jh6-afrinic,jl8-afrinic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,JH6-AFRINIC,JL8-AFRINIC,HR4-AFRINIC,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,41.75.64.0 - 41.75.79.255,NULL,NULL,Heiko Rehm,julien heuze,jeremie lecocq,+2426708080,+242 958 20 92,+242 670 83 83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AfriNIC,NULL,NULL,NULL,NULL,NULL,NULL,Rue Charles de Gaulle,317 Avenue Charles de Gaulle,Pointe Noire,Republic of Congo,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,41.89.96.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KE,NULL,2015-07-07 20:22:06 UTC,Egerton  University-Njoro IP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.89.96.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.89.96.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.89.96.0/24,41.89.97.0/32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,kenet-mnt,NULL,NULL,NULL,NULL,NULL,NULL,254,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,255.255.255.255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Egerton-University-Njoro,NULL,KC1-AFRINIC,KNT1-AFRINIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KC1-AFRINIC,KNT1-AFRINIC,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.89.0.0 - 41.89.255.255,NULL,NULL,Kevin Chege,KENET Noc Team,NULL,+254206750435,+254728787085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Kenya Education Network,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AfriNIC,NULL,NULL,NULL,NULL,NULL,NULL,P.O. Box 30244 00100  Nairobi  Kenya,P.O. Box 30244 00100 ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ipas@cnnic.cn,NULL,NULL,NULL,NULL,42.120.0.0,ipas@cnnic.cn 20140730,ipas@cnnic.cn 20110428,ipas@cnnic.net 20130730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CN,NULL,2015-07-07 20:22:06 UTC,Aliyun Computing Co.  LTD,5F  Builing D  the West Lake International Plaza of S&T,No.391 Wen er Road  Hangzhou  Zhejiang  China  310099,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ipas@cnnic.cn,jiali.jl@alibaba-inc.com,ipas@cnnic.net,anti-spam@list.alibaba-inc.com,cloud-cc-sqcloud@list.alibaba-inc.com,guowei.pangw@alibaba-inc.com,NULL,NULL,NULL,NULL,+86-0571-85022600,NULL,NULL,42.120.63.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.120.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.120.0.0/18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MAINT-CNNIC-AP,IRT-CNNIC-CN,NULL,NULL,NULL,NULL,NULL,16382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.192.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALISOFT,NULL,ZM1015-AP,ZM875-AP,ZM876-AP,ZM877-AP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ZM1015-AP,ZM877-AP,ZM876-AP,ZM875-AP,ALLOCATED PORTABLE,IRT-CNNIC-CN,IP50-AP,NULL,NULL,NULL,NULL,NULL,NULL,Li Jia,Guoxin Gao,security trouble,+86-0571-85022088,+86-0571-85022600,+86-0571-85022088-30763,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Please note that CNNIC is not an ISP and is not,empowered to investigate complaints of network abuse.,Please contact the tech-c or admin-c of the network.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,APNIC,NULL,NULL,NULL,NULL,NULL,NULL,Beijing  China,NO.969 West Wen Yi Road  Yu Hang District  Hangzhou,5F  Builing D  the West Lake International Plaza of S&T,No.391 Wen er Road  Hangzhou City,Zhejiang  China  310099,5th floor Building D the West Lake International Plaza of S&T 391#Wenâ€™er Road,Hangzhou  Zhejiang  China,NULL,NULL,NULL
ipas@cnnic.cn,NULL,NULL,NULL,NULL,42.62.40.0,ipas@cnnic.cn 20130802,ipas@cnnic.cn 20110428,ipas@cnnic.cn 20110628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CN,NULL,2015-07-07 20:22:06 UTC,WLWM Communication Tech. co.ltd,Rm.903 North Real Estate Building  Build. No.3 ,#81Yuan Haidian District Beijing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ipas@cnnic.cn,gt@lenet.com.cn,honglei@lenet.com.cn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.62.47.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.62.40.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.62.40.0/21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MAINT-CNNIC-AP,IRT-CNNIC-CN,NULL,NULL,NULL,NULL,NULL,2046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.248.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WLWM,NULL,GT483-AP,HL2233-AP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HL2233-AP,GT483-AP,ASSIGNED NON-PORTABLE,IRT-CNNIC-CN,IP50-AP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Guo Tao,Hong Lei,NULL,+86-010-51659311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Please note that CNNIC is not an ISP and is not,empowered to investigate complaints of network abuse.,Please contact the tech-c or admin-c of the network.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,APNIC,NULL,NULL,NULL,NULL,NULL,NULL,Beijing  China,Rm.902 North Real Estate Building  Build. No.3 ,#81Yuan Haidian District Beijing,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AR23962-RIPE,abusemail@depo40.ru,NULL,NULL,NULL,46.148.112.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UA,NULL,2015-07-07 20:22:06 UTC,PE LESCHENKO NICKOLAY SERGEEVICH,NLESHENKO-NET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vlelin@solar-ix.com,abusemail@depo40.ru,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.127.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.112.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.112.0/20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIPE-NCC-END-MNT,vadilio,NLESH-MNT,MNT-DEPO40,NULL,NULL,NULL,4094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.240.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LESHENKO,NULL,NL6302-RIPE,TII10-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PE LESCHENKO NICKOLAY SERGEEVICH,NULL,NULL,NULL,NULL,AS44750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORG-PLNS1-RIPE,NL6302-RIPE,TII10-RIPE,ASSIGNED PI,ORG-TCL26-RIPE,OTHER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nickolay Leschenko,Trusov Ilya Igorevych,NULL,+380504023691,+79533100064,NULL,NULL,NULL,vadilio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Depo Data Center Kaluga,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.112.0/20,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Ukraine  Kharkiv  25A Chajkovskogo str.  ap.12,61024 Kharkiv  17 Gyrshmana str. ap. 14,249806  Russia  Kaluga region  Moscow Street 258  office 16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abusemail@infiumhost.com,NULL,NULL,NULL,NULL,46.148.16.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LT,NULL,2015-07-07 20:22:06 UTC,Infium  UAB,AVALON network,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abusemail@infiumhost.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.31.254,46.148.16.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.16.1,46.148.16.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.16.0/20,46.148.16.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIPE-NCC-END-MNT,INFIUM-UAB-MNT,INFIUM-MNT,NULL,NULL,NULL,NULL,4094,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.240.0,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Infium-1,NULL,INF20-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Infium  UAB,NULL,NULL,NULL,NULL,AS197145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORG-IU17-RIPE,INF20-RIPE,ASSIGNED PI,other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Infium Ltd,NULL,NULL,+380-931-700-701,NULL,NULL,NULL,NULL,INFIUM-UAB-MNT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* For spam/abuse/security issues please contact *,*  abusemail@infiumhost.com  not this address   *,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.148.16.0/24,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,LT-12124  Vilnius  Lithuania  pr Laisves 77C,61129  Kharkov  Ukraine,Traktorostroiteley 156/41  office 301,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@ncnet.ru,NULL,NULL,NULL,NULL,46.242.116.110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RU,NULL,2015-07-07 20:22:06 UTC,NCNET Broadband customers,NCNET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ripe@rt.ru,abuse@ncnet.ru,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+7 495 6859530,NULL,NULL,46.242.127.254,46.242.127.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.242.64.1,46.242.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.242.64.0/18,46.242.0.0/17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NCNET-MNT,NULL,NULL,NULL,NULL,NULL,NULL,16382,32766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.192.0,255.255.128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NCN-BBCUST,NULL,NCN7-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS42610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NCN7-RIPE,ASSIGNED PA,NCNET NCC Operations,ORG-NCN1-RIPE,RVP-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+7 495 6859542,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.242.0.0/17,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,National Cable Networks,Nagatinskaya str.  1  bldn. 26,117105 Moscow  Russia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abusemail@depo40.ru,NULL,NULL,NULL,NULL,46.243.173.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RU,NULL,2015-07-07 20:22:06 UTC,IE Trusov Ilya Igorevych,DEPO40 Russia route,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,info@leadertelecom.ru,abusemail@depo40.ru,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.243.173.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.243.173.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.243.173.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,lidertelecom-mnt,MNT-DEPO40,NULL,NULL,NULL,NULL,NULL,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DEPO40-NET,NULL,TII10-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS199793,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TII10-RIPE,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Trusov Ilya Igorevych,NULL,NULL,+79533100064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Depo Data Center Kaluga,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.243.173.0/24,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,249806  Russia  Kaluga region  Moscow Street 258  office 16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
